content,hashtag,timestamp,User
"An alumna of both Jackson State University and Kent State, Aliyah C. Tipton was invited to join @KentStateCEL as a trip leader for an Alternative Winter Break, “May 1970, Student-Led Collective Action and the Civil Rights Movement,” in Mississippi.",KentState,2023-05-04 19:00:06+00:00,Kent State
"Not seeing a damn thing about this on Twitter today.

53 years ago, the government murdered 4 &amp; injured 9 unarmed students at  university. No one was ever criminally prosecuted. 

Here's a different view from the famous photograph that was published around the world.",KentState,2023-05-04 18:57:40+00:00,marcella ❁
Ohio National Guard open fire on peaceful protesters kill 4 at   ~  May 4th 1970.,KentState,2023-05-04 18:52:29+00:00,quinn hendley
- 4 killed 53 years ago today.,KentState,2023-05-04 18:44:40+00:00,GunFreeKids.org
"Poll: Have you heard of Kent State University? 
If so, have you also heard of the TEMU app and its $20 cash rewards for new users?
Use my code &lt;129471229&gt; and start earning while searching. Don't miss out on this opportunity!",KentState,2023-05-04 18:40:53+00:00,🍦Chrissy Dailey🍦 ° Temu promoter 🛍️
"53 years ago, four @KentState students were tragically killed and nine were injured in a shooting at a Vietnam War protest. We must always remember what happened on that day and honor the memory of those who died.",KentState,2023-05-04 18:40:15+00:00,Rep. Emilia Strong Sykes
Remember the @KentState murders? This was 53 years ago today. Now we have @GOP candidates shooting up shit with assault rifles in their TV ads. There will be more of this if we keep electing idiots like Donald CHUMP.,KentState,2023-05-04 18:35:57+00:00,Merton Gaudette
"Emotional day @KentState for the May 4th, 1970 memorial. My dad was there in 1970, my wife and I in the 90s, and now my daughter participated in it as part of the KSU Chorale. Very appropriate memorial. , 4 students dead and 9 wounded.",KentState,2023-05-04 18:34:11+00:00,Patrona Ixmersis
"May4,1970 4 students at  State University are shot &amp; killed by National Guard at a campus protest. The incident inspires Neil Young to compose the song ""Ohio"" Students Allison Beth Krause, Jeffrey Glenn Miller, Sandra Lee Scheuer &amp; William Knox Schroeder die @KentState",KentState,2023-05-04 18:32:16+00:00,Bluejay Young
"When I was a kid I asked my old man why all the activism seemed to stop in the 70's. He said, ""Kent State. Once they started killing us, most people lost their nerve."" Don't give Mickey's Memberberries Corporation free advertising today.",KentState,2023-05-04 18:32:12+00:00,Busto Mundo
"""Nobody's going to believe this happened. [My camera] is proof."" - John Filo    
Her name is Mary Vecchio. The dead boy is Jeff Miller. Also killed, Allison Krause, Will Schroder (ROTC),  Sandra Scheuer.",KentState,2023-05-04 18:24:00+00:00,Bluejay Young
Neil Young wrote “Ohio” in their station wagon with David Crosby driving &amp; recorded quickly in studio in 2 takes &amp; quick release,KentState,2023-05-04 18:23:29+00:00,Bluejay Young
Congrats @ScienceYael! Proud of your accomplishments as a @KentState alum and grateful to have you as a member of our @KSUBrainHealth Advisory Board! No doubt just the start of many more honors to come! @KentResearch @KSUAlumni,KentState,2023-05-04 18:20:50+00:00,Ya'el Courtney
"@mnlehman @KentState @KSUBrainHealth @KentResearch @KSUAlumni Thanks, Mike! Will always be deeply thankful for Kent, and excited for its future!",KentState,2023-05-04 18:20:47+00:00,Ya'el Courtney
On This Day: Kent State Student Protesters Shot by National Guard,KentState,2023-05-04 18:19:57+00:00,GenealogyBank
They were 19-20 years old.,KentState,2023-05-04 18:17:19+00:00,dpy102
"On this day we remember the 4 victims of the  massacre, 53 years ago today: Allison Krause, William Schroeder, Sandra Scheuer, and Jeffrey Miller. 

They were executed by the Ohio National Guard for peaceably protesting the Vietnam War.

Remember this the next time you…",KentState,2023-05-04 18:09:50+00:00,Sean Kristian Miller
@SammyBytes @PeteSouza @KentState Still got that great tragic shakesperian face.,KentState,2023-05-04 18:07:13+00:00,THOMAS MCGAULEY
"This tragic event, when members of the Ohio National Guard killed 4 students and wounded 9 others, had a profound effect on me and informed my politics.",KentState,2023-05-04 18:02:47+00:00,Dale Moerke
